MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"Alan Whitehead","Southampton, Test BC","","","£15,291.73","£0.00","","","","£136,930.23","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£152,221.96","","","","£20,085.88","£0.00","","Uncapped","£5,169.80","Uncapped","£498.00","£25,753.68","£177,975.64"
"Alasdair McDonnell","Belfast South","","","£23,554.25","£0.00","","","","£141,312.95","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£164,867.20","","","","£6,103.00","£0.00","","Uncapped","£22,040.81","Uncapped","£0.00","£28,143.81","£193,011.01"
"Albert Owen","Ynys Môn CC","","","£22,680.74","£0.00","","","","£120,026.18","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£142,706.92","","","","£20,610.00","£0.00","","Uncapped","£9,968.53","Uncapped","£0.00","£30,578.53","£173,285.45"
"Alberto Costa","South Leicestershire CC","","","£22,792.37","£0.00","","","","£123,577.00","£0.00","n/a","","£620.05","£0.00","n/a","","£0.00","£0.00","£146,989.42","","","","£15,780.00","£0.00","","Uncapped","£11,737.20","Uncapped","£0.00","£27,517.20","£174,506.62"
"Alec Shelbrooke","Elmet and Rothwell CC","","","£12,922.14","£0.00","","","","£122,434.91","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£135,357.05","","","","£20,086.46","£0.00","","Uncapped","£6,082.05","Uncapped","£0.00","£26,168.51","£161,525.56"
"Alex Chalk","Cheltenham BC","","","£23,344.58","£0.00","","","","£129,985.52","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£153,330.10","","","","£0.00","£0.00","","Uncapped","£7,476.62","Uncapped","£0.00","£7,476.62","£160,806.72"
"Alex Cunningham","Stockton North BC","","","£19,277.18","£0.00","","","","£139,526.12","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£158,803.30","","","","£21,238.12","£0.00","","Uncapped","£8,193.46","Uncapped","£0.00","£29,431.58","£188,234.88"
"Alex Salmond","Gordon CC","","","£23,688.29","£0.00","","","","£138,573.57","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£162,261.86","","","","£12,573.20","£0.00","","Uncapped","£60,531.64","Uncapped","£0.00","£73,104.84","£235,366.70"
"Alison McGovern","Wirral South CC","","","£16,240.05","£0.00","","","","£131,038.68","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£147,278.73","","","","£19,103.12","£0.00","","Uncapped","£13,366.54","Uncapped","£0.00","£32,469.66","£179,748.39"
"Alison Thewliss","Glasgow Central BC","","","£24,877.31","£0.00","","","","£140,693.76","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£165,571.07","","","","£26,466.69","£0.00","","Uncapped","£30,124.35","Uncapped","£0.00","£56,591.04","£222,162.11"
"Alistair Burt","North East Bedfordshire CC","","","£13,412.46","£0.00","","","","£133,695.56","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£147,108.02","","","","£20,400.00","£0.00","","Uncapped","£7,177.19","Uncapped","£0.00","£27,577.19","£174,685.21"
"Alistair Carmichael","Orkney and Shetland CC","","","£23,170.58","£0.00","","","","£137,276.85","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£160,447.43","","","","£13,081.41","£0.00","","Uncapped","£42,706.80","Uncapped","£0.00","£55,788.21","£216,235.64"
"Alok Sharma","Reading West CC","","","£15,348.32","£0.00","","","","£130,957.08","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£146,305.40","","","","£139.00","£0.00","","Uncapped","£9,222.39","Uncapped","£0.00","£9,361.39","£155,666.79"
"Alun Cairns","Vale of Glamorgan CC","","","£11,482.43","£0.00","","","","£123,519.10","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£135,001.53","","","","£20,472.77","£0.00","","Uncapped","£9,910.84","Uncapped","£0.00","£30,383.61","£165,385.14"
"Amanda Milling","Cannock Chase CC","","","£21,364.21","£0.00","","","","£134,580.83","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£155,945.04","","","","£18,955.72","£0.00","","Uncapped","£6,469.39","Uncapped","£0.00","£25,425.11","£181,370.15"
"Amanda Solloway","Derby North BC","","","£19,292.87","£0.00","","","","£139,124.71","£0.00","n/a","","£2,040.00","£0.00","n/a","","£0.00","£0.00","£160,457.58","","","","£20,345.65","£0.00","","Uncapped","£14,270.35","Uncapped","£0.00","£34,616.00","£195,073.58"
"Amber Rudd","Hastings and Rye CC","","","£22,359.54","£0.00","","","","£136,789.97","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£159,149.51","","","","£11,333.14","£0.00","","Uncapped","£1,271.86","Uncapped","£0.00","£12,605.00","£171,754.51"
"Andrea Jenkyns","Morley and Outwood CC","","","£22,780.08","£0.00","","","","£137,224.53","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£160,004.61","","","","£15,183.49","£0.00","","Uncapped","£8,696.61","Uncapped","£0.00","£23,880.10","£183,884.71"
"Andrea Leadsom","South Northamptonshire CC","","","£13,977.35","£0.00","","","","£137,248.70","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£151,226.05","","","","£0.00","£0.00","","Uncapped","£5,707.71","Uncapped","£0.00","£5,707.71","£156,933.76"
"Andrew Bingham","High Peak CC","","","£17,962.20","£0.00","","","","£132,227.46","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£150,189.66","","","","£20,422.32","£0.00","","Uncapped","£6,520.30","Uncapped","£0.00","£26,942.62","£177,132.28"
"Andrew Bridgen","North West Leicestershire CC","","","£17,950.18","£0.00","","","","£105,888.56","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£123,838.74","","","","£22,520.34","£0.00","","Uncapped","£8,043.25","Uncapped","£0.00","£30,563.59","£154,402.33"
"Andrew Griffiths","Burton CC","","","£12,695.50","£0.00","","","","£111,051.83","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£123,747.33","","","","£17,850.00","£0.00","","Uncapped","£6,697.59","Uncapped","£0.00","£24,547.59","£148,294.92"
"Andrew Gwynne","Denton and Reddish BC","","","£17,235.33","£0.00","","","","£137,431.50","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£154,666.83","","","","£19,192.09","£0.00","","Uncapped","£8,369.05","Uncapped","£0.00","£27,561.14","£182,227.97"
"Andrew Jones","Harrogate and Knaresborough CC","","","£22,055.22","£0.00","","","","£124,858.02","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£146,913.24","","","","£2,098.90","£0.00","","Uncapped","£8,688.04","Uncapped","£0.00","£10,786.94","£157,700.18"
"Andrew Mitchell","Sutton Coldfield BC","","","£20,948.78","£0.00","","","","£145,578.55","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£166,527.33","","","","£3,713.25","£0.00","","Uncapped","£7,141.99","Uncapped","£0.00","£10,855.24","£177,382.57"
"Andrew Murrison","South West Wiltshire CC","","","£18,288.11","£0.00","","","","£106,836.80","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£125,124.91","","","","£3,833.90","£0.00","","Uncapped","£4,117.94","Uncapped","£0.00","£7,951.84","£133,076.75"
"Andrew Percy","Brigg and Goole CC","","","£18,301.70","£0.00","","","","£141,700.19","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£160,001.89","","","","£19,483.00","£0.00","","Uncapped","£7,276.20","Uncapped","£0.00","£26,759.20","£186,761.09"
"Andrew Rosindell","Romford BC","","","£21,156.28","£0.00","","","","£147,685.79","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£168,842.07","","","","£0.00","£0.00","","Uncapped","£994.53","Uncapped","£0.00","£994.53","£169,836.60"
"Andrew Selous","South West Bedfordshire CC","","","£20,406.61","£0.00","","","","£138,048.34","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£158,454.95","","","","£0.00","£0.00","","Uncapped","£677.60","Uncapped","£0.00","£677.60","£159,132.55"
"Andrew Smith","Oxford East BC","","","£17,403.82","£0.00","","","","£142,056.83","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£159,460.65","","","","£0.00","£0.00","","Uncapped","£2,531.60","Uncapped","£0.00","£2,531.60","£161,992.25"
"Andrew Stephenson","Pendle BC","","","£26,189.41","£0.00","","","","£128,162.38","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£154,351.79","","","","£0.00","£0.00","","Uncapped","£7,987.74","Uncapped","£0.00","£7,987.74","£162,339.53"
"Andrew Turner","Isle of Wight CC","","","£19,599.39","£0.00","","","","£97,669.49","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£117,268.88","","","","£15,000.00","£0.00","","Uncapped","£4,389.52","Uncapped","£0.00","£19,389.52","£136,658.40"
"Andrew Tyrie","Chichester CC","","","£16,984.53","£0.00","","","","£138,930.82","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£155,915.35","","","","£20,000.00","£0.00","","Uncapped","£2,803.33","Uncapped","£0.00","£22,803.33","£178,718.68"
"Andy Burnham","Leigh CC","","","£21,502.71","£0.00","","","","£138,397.42","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£159,900.13","","","","£19,998.60","£0.00","","Uncapped","£6,490.65","Uncapped","£0.00","£26,489.25","£186,389.38"
"Andy McDonald","Middlesbrough BC","","","£22,685.72","£0.00","","","","£134,312.54","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£156,998.26","","","","£20,799.96","£0.00","","Uncapped","£8,003.84","Uncapped","£0.00","£28,803.80","£185,802.06"
"Andy Slaughter","Hammersmith BC","","","£25,242.29","£0.00","","","","£140,262.35","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£165,504.64","","","","£0.00","£0.00","","Uncapped","£1,664.20","Uncapped","£0.00","£1,664.20","£167,168.84"
"Angela Crawley","Lanark and Hamilton East CC","","","£22,429.00","£0.00","","","","£133,277.66","£0.00","n/a","","£59.52","£0.00","n/a","","£0.00","£0.00","£155,766.18","","","","£20,110.86","£0.00","","Uncapped","£28,744.37","Uncapped","£145.44","£49,000.67","£204,766.85"
"Angela Eagle","Wallasey BC","","","£21,029.54","£0.00","","","","£135,710.95","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£156,740.49","","","","£5,119.87","£0.00","","Uncapped","£7,049.53","Uncapped","£0.00","£12,169.40","£168,909.89"
"Angela Rayner","Ashton-under-Lyne BC","","","£15,533.56","£0.00","","","","£126,950.75","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£142,484.31","","","","£10,200.00","£0.00","","Uncapped","£10,388.58","Uncapped","£0.00","£20,588.58","£163,072.89"
"Angela Smith","Penistone and Stocksbridge CC","","","£24,088.65","£0.00","","","","£140,284.70","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£164,373.35","","","","£21,645.00","£0.00","","Uncapped","£9,389.36","Uncapped","£0.00","£31,034.36","£195,407.71"
"Angela Watkinson","Hornchurch and Upminster BC","","","£16,578.00","£0.00","","","","£143,003.47","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£159,581.47","","","","£0.00","£0.00","","Uncapped","£481.33","Uncapped","£0.00","£481.33","£160,062.80"
"Angus MacNeil","Na h-Eileanan an Iar CC","","","£20,245.74","£0.00","","","","£104,737.49","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£124,983.23","","","","£13,601.22","£0.00","","Uncapped","£37,027.06","Uncapped","£0.00","£50,628.28","£175,611.51"
"Angus Robertson","Moray CC","","","£18,269.96","£0.00","","","","£91,396.69","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£109,666.65","","","","£19,940.10","£0.00","","Uncapped","£20,461.10","Uncapped","£0.00","£40,401.20","£150,067.85"
"Ann Clwyd","Cynon Valley CC","","","£24,854.90","£0.00","","","","£146,707.60","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£171,562.50","","","","£6,361.35","£0.00","","Uncapped","£6,573.95","Uncapped","£0.00","£12,935.30","£184,497.80"
"Ann Coffey","Stockport BC","","","£19,174.82","£0.00","","","","£128,302.47","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£147,477.29","","","","£10,386.16","£0.00","","Uncapped","£11,582.93","Uncapped","£0.00","£21,969.09","£169,446.38"
"Anna Soubry","Broxtowe CC","","","£23,775.63","£0.00","","","","£144,649.92","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£168,425.55","","","","£20,599.80","£0.00","","Uncapped","£14,095.08","Uncapped","£0.00","£34,694.88","£203,120.43"
"Anna Turley","Redcar BC","","","£23,814.52","£0.00","","","","£144,388.61","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£168,203.13","","","","£19,424.89","£0.00","","Uncapped","£9,939.50","Uncapped","£0.00","£29,364.39","£197,567.52"
"Anne Main","St Albans CC","","","£10,715.73","£0.00","","","","£136,487.58","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£147,203.31","","","","£0.00","£0.00","","Uncapped","£80.00","Uncapped","£17.35","£97.35","£147,300.66"
"Anne McLaughlin","Glasgow North East BC","","","£23,395.01","£0.00","","","","£140,975.57","£0.00","n/a","","£2,511.20","£0.00","n/a","","£0.00","£0.00","£166,881.78","","","","£20,255.91","£0.00","","Uncapped","£15,165.97","Uncapped","£244.95","£35,666.83","£202,548.61"
"Anne Milton","Guildford CC","","","£9,414.91","£0.00","","","","£135,575.72","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£144,990.63","","","","£0.00","£0.00","","Uncapped","£4,708.50","Uncapped","£0.00","£4,708.50","£149,699.13"
"Anne Morris","Newton Abbot CC","","","£19,862.63","£0.00","","","","£138,125.14","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£157,987.77","","","","£20,867.49","£0.00","","Uncapped","£6,746.81","Uncapped","£0.00","£27,614.30","£185,602.07"
"Anne-Marie Trevelyan","Berwick-upon-Tweed CC","","","£22,831.04","£0.00","","","","£127,567.08","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£150,398.12","","","","£24,226.34","£0.00","","Uncapped","£21,115.29","Uncapped","£0.00","£45,341.63","£195,739.75"
"Antoinette Sandbach","Eddisbury CC","","","£18,729.06","£0.00","","","","£140,103.49","£0.00","n/a","","£722.97","£0.00","n/a","","£0.00","£0.00","£159,555.52","","","","£13,785.00","£0.00","","Uncapped","£9,390.41","Uncapped","£3,630.00","£26,805.41","£186,360.93"
"Barbara Keeley","Worsley and Eccles South CC","","","£23,118.29","£0.00","","","","£115,280.52","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£138,398.81","","","","£0.00","£0.00","","Uncapped","£7,582.41","Uncapped","£0.00","£7,582.41","£145,981.22"
"Barry Gardiner","Brent North BC","","","£23,100.57","£0.00","","","","£140,935.99","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£164,036.56","","","","£0.00","£0.00","","Uncapped","£1,610.06","Uncapped","£491.50","£2,101.56","£166,138.12"
"Barry Sheerman","Huddersfield BC","","","£17,996.71","£0.00","","","","£138,461.44","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£156,458.15","","","","£9,883.47","£0.00","","Uncapped","£7,119.75","Uncapped","£0.00","£17,003.22","£173,461.37"
"Ben Bradshaw","Exeter BC","","","£19,167.33","£0.00","","","","£139,040.61","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£158,207.94","","","","£14,109.25","£0.00","","Uncapped","£5,181.37","Uncapped","£0.00","£19,290.62","£177,498.56"
"Ben Gummer","Ipswich BC","","","£17,005.71","£0.00","","","","£139,648.39","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£156,654.10","","","","£24,255.15","£0.00","","Uncapped","£12,423.62","Uncapped","£0.00","£36,678.77","£193,332.87"
"Ben Howlett","Bath BC","","","£22,448.81","£0.00","","","","£136,692.24","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£159,141.05","","","","£15,918.07","£0.00","","Uncapped","£8,350.13","Uncapped","£0.00","£24,268.20","£183,409.25"
"Ben Wallace","Wyre and Preston North CC","","","£16,651.08","£0.00","","","","£139,822.65","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£156,473.73","","","","£27,877.05","£0.00","","Uncapped","£18,253.53","Uncapped","£696.00","£46,826.58","£203,300.31"
"Bernard Jenkin","Harwich and North Essex CC","","","£12,788.84","£0.00","","","","£134,854.56","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£147,643.40","","","","£0.00","£0.00","","Uncapped","£1,101.30","Uncapped","£0.00","£1,101.30","£148,744.70"
"Bill Cash","Stone CC","","","£17,073.55","£0.00","","","","£140,590.47","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£157,664.02","","","","£20,599.81","£0.00","","Uncapped","£9,235.60","Uncapped","£0.00","£29,835.41","£187,499.43"
"Bill Esterson","Sefton Central CC","","","£14,083.84","£0.00","","","","£139,863.74","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£153,947.58","","","","£22,418.35","£0.00","","Uncapped","£12,869.40","Uncapped","£0.00","£35,287.75","£189,235.33"
"Bill Wiggin","North Herefordshire CC","","","£10,257.97","£0.00","","","","£134,319.18","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£144,577.15","","","","£2,007.62","£0.00","","Uncapped","£6,430.02","Uncapped","£0.00","£8,437.64","£153,014.79"
"Bob Blackman","Harrow East BC","","","£26,586.51","£0.00","","","","£148,507.28","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£175,093.79","","","","£0.00","£0.00","","Uncapped","£1,835.45","Uncapped","£0.00","£1,835.45","£176,929.24"
"Bob Neill","Bromley and Chislehurst BC","","","£18,942.95","£0.00","","","","£144,473.47","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£163,416.42","","","","£0.00","£0.00","","Uncapped","£717.97","Uncapped","£0.00","£717.97","£164,134.39"
"Bob Stewart","Beckenham BC","","","£14,458.70","£0.00","","","","£134,188.77","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£148,647.47","","","","£0.00","£0.00","","Uncapped","£102.75","Uncapped","£0.00","£102.75","£148,750.22"
"Boris Johnson","Uxbridge and South Ruislip BC","","","£8,018.32","£0.00","","","","£144,319.64","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£152,337.96","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£152,337.96"
"Brandon Lewis","Great Yarmouth CC","","","£21,954.00","£0.00","","","","£147,649.66","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£169,603.66","","","","£21,699.81","£0.00","","Uncapped","£1,949.74","Uncapped","£0.00","£23,649.55","£193,253.21"
"Brendan O'Hara","Argyll and Bute CC","","","£24,116.91","£0.00","","","","£141,315.13","£0.00","n/a","","£2,599.03","£0.00","n/a","","£0.00","£0.00","£168,031.07","","","","£27,018.31","£0.00","","Uncapped","£40,250.47","Uncapped","£0.00","£67,268.78","£235,299.85"
"Bridget Phillipson","Houghton and Sunderland South BC","","","£22,236.66","£0.00","","","","£137,659.49","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£159,896.15","","","","£8,801.91","£0.00","","Uncapped","£9,256.32","Uncapped","£1,288.74","£19,346.97","£179,243.12"
"Byron Davies","Gower CC","","","£21,772.92","£0.00","","","","£137,889.77","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£159,662.69","","","","£22,148.73","£0.00","","Uncapped","£9,357.46","Uncapped","£1,254.00","£32,760.19","£192,422.88"
"Callum McCaig","Aberdeen South BC","","","£20,340.81","£0.00","","","","£131,340.66","£0.00","n/a","","£44.99","£0.00","n/a","","£0.00","£0.00","£151,726.46","","","","£20,369.62","£0.00","","Uncapped","£19,272.16","Uncapped","£0.00","£39,641.78","£191,368.24"
"Calum Kerr","Berwickshire, Roxburgh and Selkirk CC","","","£21,692.57","£0.00","","","","£141,456.49","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£163,149.06","","","","£22,606.33","£0.00","","Uncapped","£31,354.58","Uncapped","£0.00","£53,960.91","£217,109.97"
"Carol Monaghan","Glasgow North West BC","","","£21,507.02","£0.00","","","","£128,492.29","£0.00","n/a","","£561.02","£0.00","n/a","","£0.00","£0.00","£150,560.33","","","","£27,335.30","£0.00","","Uncapped","£22,058.09","Uncapped","£0.00","£49,393.39","£199,953.72"
"Caroline Ansell","Eastbourne BC","","","£23,237.27","£0.00","","","","£141,270.67","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£164,507.94","","","","£19,890.70","£0.00","","Uncapped","£4,128.30","Uncapped","£0.00","£24,019.00","£188,526.94"
"Caroline Dinenage","Gosport BC","","","£15,034.58","£0.00","","","","£105,324.58","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£120,359.16","","","","£16,312.96","£0.00","","Uncapped","£5,805.00","Uncapped","£0.00","£22,117.96","£142,477.12"
"Caroline Flint","Don Valley CC","","","£16,496.09","£0.00","","","","£114,475.10","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£130,971.19","","","","£4,657.52","£0.00","","Uncapped","£6,403.50","Uncapped","£0.00","£11,061.02","£142,032.21"
"Caroline Johnson","Sleaford and North Hykeham CC","","","£2,124.74","£0.00","","","","£21,633.34","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£23,758.08","","","","£4,524.32","£0.00","","Uncapped","£1,204.30","Uncapped","£0.00","£5,728.62","£29,486.70"
"Caroline Lucas","Brighton, Pavilion BC","","","£23,205.35","£0.00","","","","£139,242.23","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£162,447.58","","","","£7,020.00","£0.00","","Uncapped","£5,683.90","Uncapped","£0.00","£12,703.90","£175,151.48"
"Caroline Nokes","Romsey and Southampton North CC","","","£17,935.08","£0.00","","","","£113,793.38","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£131,728.46","","","","£21,768.93","£0.00","","Uncapped","£7,682.90","Uncapped","£0.00","£29,451.83","£161,180.29"
"Caroline Spelman","Meriden CC","","","£14,725.87","£0.00","","","","£126,377.05","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£141,102.92","","","","£0.00","£0.00","","Uncapped","£3,960.15","Uncapped","£0.00","£3,960.15","£145,063.07"
"Carolyn Harris","Swansea East BC","","","£23,252.47","£0.00","","","","£154,218.12","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£177,470.59","","","","£20,049.17","£0.00","","Uncapped","£7,843.32","Uncapped","£0.00","£27,892.49","£205,363.08"
"Cat Smith","Lancaster and Fleetwood CC","","","£20,822.48","£0.00","","","","£136,225.30","£0.00","n/a","","£5,935.00","£0.00","n/a","","£0.00","£0.00","£162,982.78","","","","£0.00","£0.00","","Uncapped","£8,479.25","Uncapped","£0.00","£8,479.25","£171,462.03"
"Catherine McKinnell","Newcastle upon Tyne North BC","","","£13,185.18","£0.00","","","","£127,468.11","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£140,653.29","","","","£26,351.38","£0.00","","Uncapped","£6,812.92","Uncapped","£0.00","£33,164.30","£173,817.59"
